"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2020,276,130218144,16563258,"",30-OCT-20,31-MAR-20,"",0,6,,0,"C","F",85780216
2020,276,130221512,16563259,"",30-OCT-20,14-APR-20,"",12,6,,0,"C","F",85775748
2020,276,130218119,16563259,"N",30-OCT-20,06-APR-20,"",12,6,,0,"C","F",85775741
2020,276,130218129,16565241,"N",30-OCT-20,23-MAY-20,"",0,6,,0,"C","F",85780182
2020,276,130218161,16565239,"N",30-OCT-20,01-JAN-20,"",0,6,,0,"C","F",85775799
2020,276,130218135,16565241,"N",30-OCT-20,28-MAY-20,"",17,6,,0,"C","F",85780196
2020,276,130221521,16563259,"",30-OCT-20,07-APR-20,"",17,6,,0,"C","F",85775795
2020,276,130218147,16565241,"",30-OCT-20,04-MAY-20,"",18,6,,0,"C","F",85775782
2020,276,130218122,16563259,"",30-OCT-20,27-APR-20,"",19,6,,0,"C","F",85780162
2020,276,130221517,16563259,"N",30-OCT-20,22-APR-20,"",0,6,,0,"C","F",85780239
2020,276,130218116,16563259,"",30-OCT-20,27-APR-20,"",13,6,,0,"C","F",85775738
2020,276,130218167,16565241,"N",30-OCT-20,29-MAY-20,"",12,6,,0,"C","F",85780253
2020,276,130218158,16565241,"N",30-OCT-20,31-MAY-20,"",22,6,,0,"C","F",85780222
2020,276,130218156,16563259,"",30-OCT-20,30-APR-20,"",9,6,,0,"C","F",85775785
2020,276,130221513,16565241,"N",30-OCT-20,28-MAY-20,"",13,6,,0,"C","F",85775794
2020,276,130218141,16565237,"",30-OCT-20,17-FEB-20,"",11,6,,0,"C","F",85780212
2020,276,130218146,16565241,"",30-OCT-20,03-MAY-20,"R",,6,,0,"C","F",85780219
2020,276,130218140,16565239,"",30-OCT-20,28-JAN-20,"",13,6,,0,"C","F",85780213
2020,276,130218115,16565237,"",30-OCT-20,10-FEB-20,"",8,6,,0,"C","F",85780156
2020,276,130221505,16565237,"",30-OCT-20,24-FEB-20,"",17,6,,0,"C","F",85780215
2020,276,130218148,16565241,"",30-OCT-20,29-MAY-20,"",16,6,,0,"C","F",85775778
2020,276,130218153,16563259,"N",30-OCT-20,06-APR-20,"",13,6,,0,"C","F",85775796
2020,276,130221527,16563258,"N",30-OCT-20,21-MAR-20,"",0,6,,0,"C","F",85780268
2020,276,130218149,16565237,"",30-OCT-20,29-FEB-20,"",14,6,,0,"C","F",85780211
2020,276,130218164,16563259,"",30-OCT-20,02-APR-20,"",7,6,,0,"C","F",85775804
2020,276,130218160,16563259,"",30-OCT-20,30-APR-20,"",7,6,,0,"C","F",85780248
2020,276,130218173,16565241,"",30-OCT-20,05-MAY-20,"",17,6,,0,"C","F",85775810
2020,276,130218159,16563266,"",30-OCT-20,02-JUN-20,"",9,6,,0,"C","F",85780238
2020,276,130221511,16563259,"",30-OCT-20,15-APR-20,"",13,6,,0,"C","F",85780228
2020,276,130218163,16563266,"",30-OCT-20,04-JUN-20,"",15,6,,0,"C","F",85775805
2020,276,130221506,16563258,"N",30-OCT-20,30-MAR-20,"R",,6,,0,"C","F",85780210
2020,276,130221516,16563259,"",30-OCT-20,20-APR-20,"",0,6,,0,"C","F",85780240
2020,276,130221536,16563258,"N",30-OCT-20,09-MAR-20,"",22,6,,0,"C","F",85780282
2020,276,130221499,16565241,"N",30-OCT-20,29-MAY-20,"",7,6,,0,"C","F",85775766
2020,276,130218126,16563259,"",30-OCT-20,26-APR-20,"",12,6,,0,"C","F",85775751
2020,276,130218143,16565237,"",30-OCT-20,18-FEB-20,"",17,6,,0,"C","F",85780214
2020,276,130218145,16563258,"",30-OCT-20,10-MAR-20,"",11,6,,0,"C","F",85780208
2020,276,130218130,16563258,"N",30-OCT-20,03-MAR-20,"",6,6,,0,"C","F",85775757
2020,276,130221503,16563258,"N",30-OCT-20,26-MAR-20,"",0,6,,0,"C","F",85780198
2020,276,130218151,16563266,"N",30-OCT-20,01-JUN-20,"R",,6,,0,"C","F",85775775
2020,276,130218205,16565239,"",30-OCT-20,01-JAN-20,"",0,6,,0,"C","F",85780361
2020,276,130221500,16565237,"N",30-OCT-20,05-FEB-20,"",0,6,,0,"C","F",85775765
2020,276,130218150,16563259,"",30-OCT-20,14-APR-20,"",8,6,,0,"C","F",85780197
2020,276,130221489,16565237,"N",30-OCT-20,26-FEB-20,"",7,6,,0,"C","F",85775745
2020,276,130218142,16565237,"N",30-OCT-20,13-FEB-20,"R",,6,,0,"C","F",85775777
2020,276,130221504,16565239,"",30-OCT-20,27-JAN-20,"",13,6,,0,"C","F",85780209
2020,276,130218117,16565241,"",30-OCT-20,24-MAY-20,"",12,6,,0,"C","F",85780160
2020,276,130218127,16565241,"",30-OCT-20,30-MAY-20,"R",,6,,0,"C","F",85775750
2020,276,130221488,16565237,"",30-OCT-20,22-FEB-20,"",23,6,,0,"C","F",85775740
2020,276,130218125,16565241,"N",30-OCT-20,03-MAY-20,"",0,6,,0,"C","F",85780176
2020,276,130221509,16565241,"",30-OCT-20,03-MAY-20,"R",,6,,0,"C","F",85775784
2020,276,130221525,16563259,"",30-OCT-20,25-APR-20,"",0,6,,0,"C","F",85780256
2020,276,130221501,16563258,"",30-OCT-20,10-MAR-20,"",14,6,,0,"C","F",85780200
2020,276,130221514,16563259,"",30-OCT-20,21-APR-20,"",7,6,,0,"C","F",85775797
2020,276,130221522,16565241,"",30-OCT-20,20-MAY-20,"",0,6,,0,"C","F",85780241
2020,150,130209794,16563079,"",30-OCT-20,14-MAR-20,"",17,6,,0,"C","F",85771648
2020,150,130215950,16565079,"",30-OCT-20,19-FEB-20,"",14,6,,0,"C","F",85770058
2020,150,130215967,16565081,"N",30-OCT-20,29-JAN-20,"",14,6,,0,"C","F",85771834
