"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
562020,56,2020,"AL0010700","AL0010700","","N","N",,"I","MIDFIELD","MIDFIELD PD","Midfield","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",4967,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,2,15,1,2,3,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","JEFFERSON","Birmingham-Hoover, AL","Y","Y","Y"
612020,61,2020,"AL0011200","AL0011200","","Y","N",,"I","HOOVER","HOOVER PD","Hoover","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",86321,31954,"AL0011200","Hoover","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",171,24,195,11,13,24,0,0,01-JAN-06,01-JAN-06,01-JAN-06,01-MAY-18,01-APR-15,01-MAY-18,"N","SHELBY; JEFFERSON","Birmingham-Hoover, AL","Y","Y","Y"
692020,69,2020,"AL0012000","AL0012000","","N","N",,"I","LIPSCOMB","LIPSCOMB PD","Lipscomb","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2132,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,1,4,1,4,5,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","JEFFERSON","Birmingham-Hoover, AL","Y","Y","Y"
712020,71,2020,"AL0012200","AL0012200","","N","N",,"I","ADAMSVILLE","ADAMSVILLE PD","Adamsville","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",4257,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,2,15,1,9,10,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","JEFFERSON","Birmingham-Hoover, AL","Y","Y","Y"
832020,83,2020,"AL0020200","AL0020200","","N","N",,"I","PRICHARD","PRICHARD PD","Prichard","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",21305,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",34,4,38,1,17,18,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","MOBILE","Mobile, AL","Y","Y","Y"
842020,84,2020,"AL0020300","AL0020300","","N","N",,"I","CHICKASAW","CHICKASAW PD","Chickasaw","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",5661,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",20,0,20,0,0,0,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","MOBILE","Mobile, AL","Y","Y","Y"
872020,87,2020,"AL0020600","AL0020600","","N","N",,"I","BAYOU LA BATRE","BAYOU LA BATRE PD","Bayou La Batre","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",2466,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",13,1,14,0,4,4,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","MOBILE","Mobile, AL","Y","Y","Y"
882020,88,2020,"AL0020700","AL0020700","","N","N",,"I","SATSUMA","SATSUMA PD","Satsuma","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",6195,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,2,4,6,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","MOBILE","Mobile, AL","Y","Y","Y"
932020,93,2020,"AL0021500","AL0021500","","N","N",,"I","DAUPHIN ISLAND","DAUPHIN ISLAND PD DAUPHIN ISLAND","Dauphin Island","","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","City",1347,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",8,2,10,0,6,6,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,01-JUN-20,"N","MOBILE","Mobile, AL","Y","Y","Y"
1002020,100,2020,"AL0030700","AL0030700","","N","N",,"I","AUBURN UNIV, MONTGOMERY","AUBURN UNIVERSITY CAMPUS POLICE MONTGOMERY","Auburn University:","Montgomery","A",2,"Alabama","AL","AL","6","East South Central","3","South","Region III","University or College",0,23354,"ALUCR0001","Alabama Law Enforcement Agency","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",8,2,10,8,8,16,0,0,01-JAN-06,01-JAN-20,01-JAN-20,01-JUN-20,,,"N","MONTGOMERY","Montgomery, AL","Y","Y","Y"
