"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2020,157118692,130221168,44,"C",20,,""
2020,157122012,130221176,51,"C",20,,""
2020,157122017,130221181,51,"C",13,,""
2020,157118802,130217799,51,"C",13,,""
2020,157122099,130217799,16,"C",13,,""
2020,157122101,130217804,21,"C",19,,""
2020,157118806,130217804,49,"C",19,1,"F"
2020,157118817,130217810,51,"C",20,,""
2020,157122206,130217900,47,"C",20,,""
2020,157119019,130217976,16,"C",13,,""
2020,157122316,130218044,21,"C",20,,""
2020,157119143,130221460,51,"C",20,,""
2020,157119228,130221511,11,"C",7,,""
2020,157119363,130221591,27,"C",10,,""
2020,157122512,130221605,51,"C",20,,""
2020,157119608,130218471,63,"C",20,,""
2020,157119706,130221831,35,"C",20,,""
2020,157119708,130221831,51,"C",20,,""
2020,157119732,130218573,27,"C",20,,""
2020,157119731,130218573,47,"C",20,,""
2020,157122928,130218727,44,"C",25,,""
2020,157119977,130218758,28,"C",23,,""
2020,157120001,130218778,27,"C",13,,""
2020,157122967,130221996,51,"C",20,,""
2020,157122979,130222009,51,"C",20,,""
2020,157120299,130219027,5,"C",20,,""
2020,157120328,130219058,35,"C",20,,""
2020,157120329,130219058,16,"C",20,,""
2020,157120385,130219097,47,"C",20,,""
2020,157120506,130219228,21,"C",20,,""
2020,157120505,130219228,5,"C",20,,""
2020,157123442,130219260,45,"C",20,,""
2020,157123453,130219264,11,"C",13,,""
2020,157120611,130222380,39,"C",13,,""
2020,157123508,130219353,44,"C",20,,""
2020,157120688,130219381,23,"C",12,,""
2020,157120821,130222523,27,"C",13,,""
2020,157123686,130219533,44,"C",18,,""
2020,157123746,130222602,51,"C",20,,""
2020,157120956,130219605,49,"C",20,,"F"
2020,157123773,130222624,5,"C",18,,""
2020,157123777,130219628,21,"C",36,,""
2020,157121109,130219733,16,"A",13,,""
2020,157121154,130222728,51,"C",20,,""
2020,157123905,130222740,45,"C",18,,""
2020,157123903,130222740,21,"C",7,,""
2020,157123927,130219803,5,"C",20,,""
2020,157126209,130222759,51,"C",18,,""
2020,157126224,130219834,21,"C",20,,""
2020,157126520,130222962,51,"C",20,,""
2020,157124244,130220120,39,"C",13,,""
2020,157126599,130223002,5,"C",13,,""
2020,157126701,130223072,51,"C",20,,""
2020,157124411,130220262,51,"C",20,,""
2020,157126852,130220339,27,"C",20,,""
2020,157124499,130220349,45,"C",20,,""
2020,157124523,130220367,45,"C",4,,""
2020,157126879,130220381,21,"C",20,,""
2020,157126882,130220381,49,"C",20,,"F"
2020,157126881,130220381,47,"C",20,,""
2020,157126987,130220475,51,"C",20,,""
2020,157127022,130223240,35,"C",13,,""
2020,157124628,130220509,27,"C",7,,""
2020,157124635,130223253,51,"C",20,,""
2020,157124679,130223298,11,"C",13,,""
2020,157124668,130223298,35,"C",13,,""
2020,157124669,130223298,16,"C",13,,""
2020,157127142,130223329,41,"C",20,,""
2020,157127228,130220652,35,"C",20,,""
2020,157127229,130220652,16,"C",20,,""
2020,157127375,130223458,16,"C",13,,""
2020,157127392,130223465,16,"C",13,,""
2020,157115865,130215326,49,"C",20,,"F"
2020,157115957,130215410,5,"C",13,,""
2020,157116041,130215463,41,"C",8,,""
2020,157109947,130209486,47,"C",20,,""
