year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2000,IA,1994,0,239,0,73,30,1596,0,56,3153624,2840965,0.9008572359926231,0.0007018741871159975,0.00010982183870621427,0.0005920523484097833
2001,IA,1911,0,158,0,68,34,1587,0,64,3199087,2861030,0.8943270376829389,0.0006679412659077325,7.89925306620343e-05,0.0005889487352456983
2002,IA,1941,0,154,0,80,37,1604,0,66,3146200,2864063,0.9103245184667218,0.0006777085559919597,8.170211339624862e-05,0.0005960064425957111
2003,IA,1965,0,197,0,60,41,1597,0,70,3193360,2916051,0.9131607460480498,0.000673856527200656,8.81328893081774e-05,0.0005857236378924785
2004,IA,2035,0,167,0,76,33,1670,0,89,3147746,2914838,0.9260080069992941,0.0006981520070755219,8.336655416184364e-05,0.0006147854529136782
2005,IA,2132,0,185,0,82,46,1736,0,83,3162663,2946920,0.931784385500447,0.0007234672132260122,9.060307032427077e-05,0.0006328641429017415
2006,IA,1941,0,124,0,95,33,1593,0,96,3173941,2946397,0.9283086862673251,0.000658770695191449,7.432806916379565e-05,0.0005844426260276534
2007,IA,2017,0,150,0,65,46,1654,0,102,3189662,2960191,0.9280578945355339,0.0006813749518189873,7.263044850822126e-05,0.0006087445033107661
2008,IA,2060,0,160,0,99,49,1666,0,86,3170469,2986415,0.941947390117992,0.0006897902669253938,8.672605783188203e-05,0.0006030642090935118
2009,IA,2122,0,152,0,125,45,1706,0,94,3205435,2983079,0.9306315679463162,0.0007113455594035559,9.285707820677897e-05,0.0006184884811967769
2010,IA,2057,0,159,0,81,45,1673,0,99,3236371,2985020,0.9223355418769974,0.0006891076106692752,8.040147134692565e-05,0.0006087061393223496
2011,IA,2142,0,181,0,95,39,1733,0,94,3179378,2932390,0.9223156227413035,0.0007304621827246717,9.412117760598011e-05,0.0006363410051186916
2012,IA,2225,0,161,0,110,32,1839,0,83,3248307,2973777,0.9154852050622062,0.0007482067417967117,9.112989978737478e-05,0.000657076842009337
2013,IA,2497,0,152,0,109,34,2110,0,92,3244635,2967622,0.9146242951826631,0.0008414144389009112,8.794920646901796e-05,0.0007534652324318933
2014,IA,2576,0,211,0,123,30,2114,0,98,3311006,3069576,0.9270825845679531,0.000839203850955311,0.00010880981607883303,0.0007303940348764781
2015,IA,2574,0,210,0,86,21,2129,0,128,3358187,3109068,0.9258174127885076,0.0008279008371640633,9.52053798758985e-05,0.0007326954572881648
2016,IA,2672,0,246,0,118,20,2156,0,132,3318993,3115599,0.9387181593935269,0.0008576199953845152,0.0001168314664371121,0.0007407885289474031
2017,IA,2693,0,227,0,112,22,2222,0,110,3196245,3114868,0.9745398115601276,0.000864563121133865,0.0001088328622593317,0.0007557302588745334
2018,IA,1972,0,153,0,64,7,1655,0,93,3235130,3107058,0.960412100904755,0.0006346840001055661,6.984098784123116e-05,0.0005648430122643349
2019,IA,2504,0,201,0,92,16,2053,0,142,3360588,3138760,0.9339913134249126,0.000797767271151665,9.334896583364131e-05,0.0007044183053180236
2020,IA,2842,0,276,0,92,7,2310,0,157,3277924,3083186,0.9405910570226765,0.0009217737755685191,0.0001193570546830454,0.0008024167208854736
2000,ID,778,0,118,0,27,80,477,0,76,1335701,1282539,0.9601991763126628,0.00060660923371531,0.00011305699085953721,0.0004935522428557728
2001,ID,797,0,99,0,28,82,505,0,83,1363532,1305535,0.9574656113681234,0.0006104776968828871,9.727812735774989e-05,0.0005131995695251372
2002,ID,838,0,120,0,35,91,511,0,81,1386037,1328471,0.9584671982061085,0.00063080037125387,0.0001166754863297731,0.0005141248849240969
2003,ID,911,0,186,0,35,84,510,0,96,1412529,1357404,0.9609742525640181,0.0006711340175806171,0.0001628107770420597,0.0005083232405385575
2004,ID,913,0,168,0,54,91,504,0,96,1440470,1392114,0.966430401188501,0.000655837093801226,0.00015946969860226965,0.0004963673951989564
2005,ID,1112,0,142,0,43,94,729,0,104,1533254,1425914,0.9299920300224229,0.0007798506782316465,0.0001297413448496894,0.0006501093333819571
2006,ID,1058,0,94,0,45,117,690,0,112,1523566,1464850,0.9614614660605448,0.0007222582516981261,9.489026180154964e-05,0.0006273679898965765
2007,ID,1149,0,121,0,36,126,745,0,121,1549218,1497812,0.9668180979048785,0.0007671189708721789,0.00010481956346991478,0.0006622994074022641
2008,ID,1206,0,203,0,38,111,746,0,108,1575635,1521749,0.9658004550546287,0.0007925091457263977,0.0001583704014262536,0.0006341387443001441
2009,ID,1340,0,237,0,61,116,811,0,115,1606258,1543741,0.961079104353099,0.0008680212548607571,0.00019303756264813852,0.0006749836922126186
2010,ID,1172,0,146,0,31,95,792,0,108,1641370,1564555,0.953200679919823,0.000749094790531493,0.00011313120983282787,0.0006359635806986651
2011,ID,1037,0,110,0,34,39,753,0,101,1647369,1584985,0.9621311315194107,0.0006542648668599388,9.085259481950934e-05,0.0005634122720404294
2012,ID,1076,0,121,0,29,68,770,0,88,1658218,1595728,0.9623149670308729,0.0006743003820199934,9.400098262360502e-05,0.0005802993993963884
2013,ID,1155,0,134,0,35,42,844,0,100,1673884,1611676,0.9628361344035787,0.0007166452810614541,0.00010485978571375389,0.0006117854953477001
2014,ID,1102,0,119,0,31,35,794,0,123,1691496,1634011,0.9660152906066583,0.0006744140645320013,9.179864762232323e-05,0.0005826154169096781
2015,ID,1182,0,136,0,42,45,845,0,114,1719351,1654475,0.9622671577822097,0.0007144260263829916,0.00010758699889693105,0.0006068390274860605
2016,ID,1224,0,158,0,47,49,851,0,119,1741411,1680830,0.9652115439721007,0.000728211657335959,0.00012196355372048334,0.0006062481036154757
2017,ID,1223,0,179,0,29,27,882,0,106,1785558,1717917,0.9621177245432521,0.000711908666134627,0.00012107686226983026,0.0005908318038647968
2018,ID,1331,0,173,0,62,41,897,0,158,1819181,1752918,0.9635753671569789,0.0007593053411511548,0.00013406217518446384,0.000625243165966691
2019,ID,1412,0,154,0,44,28,1035,0,151,1871068,1785551,0.9542950870839542,0.0007907923100488309,0.00011089013979438279,0.000679902170254448
2020,ID,1486,0,204,0,44,17,1070,0,151,1997945,1819575,0.9107232681580324,0.0008166742233763379,0.0001362955635244494,0.0006803786598518884
2000,SC,7905,0,821,0,178,98,6561,0,247,4075438,4007782,0.9833990849572488,0.001972412671148281,0.0002492650548358169,0.0017231476163124641
2001,SC,7529,0,878,0,137,79,6242,0,193,4201688,4055834,0.9652868085398059,0.0018563383018141274,0.00025025679058856946,0.001606081511225558
2002,SC,8288,0,931,0,157,78,6864,0,258,4153020,4101434,0.9875786776851544,0.0020207566426766834,0.0002652730727838117,0.0017554835698928716
