year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2008,AR,1883,0,294,0,101,9,1394,0,85,3002258,2599858,0.8659675484252186,0.0007242703255331637,0.00015193137471354205,0.0005723389508196216
2009,AR,2655,0,344,0,90,8,2093,0,120,2977838,2756991,0.925836462561093,0.0009630064080731494,0.0001574179966492455,0.0008055884114239038
2010,AR,2875,0,418,0,84,21,2237,0,115,3034697,2791891,0.9199900352489886,0.0010297679959568621,0.0001798064465983808,0.0008499615493584814
2011,AR,2776,0,376,0,97,20,2183,0,100,3020076,2871257,0.9507234255031992,0.0009668239380870469,0.0001647362113527281,0.0008020877267343188
2012,AR,2775,0,441,0,125,16,2071,0,122,3082595,2893495,0.9386555807688003,0.0009590477951404789,0.00019561118992775174,0.0007634366052127272
2013,AR,2566,0,417,0,96,9,1933,0,111,3109825,2905664,0.9343496820560643,0.0008831027950926191,0.00017655172793550804,0.0007065510671571111
2014,AR,2527,0,404,0,86,10,1920,0,107,3142121,2907341,0.9252797712118661,0.0008691790883835092,0.00016853888140400456,0.0007006402069795046
2015,AR,3011,0,450,0,117,5,2331,0,108,3155575,2929845,0.928466285859154,0.0010276994175459793,0.0001935255960639556,0.0008341738214820238
2016,AR,3272,0,494,0,127,8,2490,0,153,3097115,2960488,0.9558857194518124,0.001105223192933057,0.0002097627147956688,0.0008954604781373881
2017,AR,3246,0,510,0,125,9,2455,0,147,3021597,2959475,0.9794406732598688,0.001096816158271315,0.0002145650833340373,0.0008822510749372778
2018,AR,3623,0,605,0,146,8,2675,0,189,3031153,2922485,0.9641496156742995,0.0012396984073485408,0.0002569730896822396,0.000982725317666301
2019,AR,3712,0,553,0,154,3,2849,0,153,3108635,2911046,0.9364386619850835,0.0012751430241913044,0.00024286802750626406,0.0010322749966850404
2020,AR,4256,0,624,0,147,1,3316,0,168,3145288,2821186,0.8969563359539731,0.0015085853963545828,0.00027328931874750546,0.0012352960776070773
2011,CO,2700,0,317,0,193,63,1817,0,310,5490450,4492005,0.8181487856186651,0.0006010678972975319,0.0001135350472673116,0.00048753285003022036
2012,CO,3070,0,360,0,266,53,2027,0,364,5306586,5090810,0.959338075365216,0.0006030474521736227,0.00012296667917286247,0.0004800807730007602
2013,CO,3047,0,405,0,276,52,1957,0,357,5365782,5173490,0.9641632850533249,0.0005889641228648359,0.00013163261164127118,0.00045733151122356473
2014,CO,3104,0,393,0,251,59,1999,0,402,5492445,5279319,0.9611965163055798,0.0005879546206622483,0.00012198543031781183,0.00046596919034443644
2015,CO,2971,0,297,0,268,26,1916,0,464,5614411,5445853,0.9699776165300331,0.0005455527352647969,0.00010374866894130267,0.00044180406632349424
2016,CO,3584,0,437,0,304,33,2329,0,481,5699669,5519770,0.9684369390573383,0.0006493024165861983,0.0001342447239649478,0.0005150576926212505
2017,CO,3991,0,433,0,303,31,2657,0,567,5664706,5582261,0.9854458466158703,0.0007149432819425677,0.00013184621786763463,0.000583097064074933
2018,CO,4575,0,447,0,348,37,3174,0,569,5757543,5663901,0.9837357706229897,0.0008077471693096331,0.00014036262286364117,0.0006673845464459919
2019,CO,4548,0,473,0,307,47,3173,0,548,5897543,5717847,0.9695303620507727,0.0007954042841650013,0.00013641498277236169,0.0006589893013926396
2020,CO,5307,0,584,0,284,22,3810,0,607,6060729,5754151,0.9494156561034159,0.0009222907080471125,0.000150847622872601,0.0007714430851745115
2019,CT,1028,0,123,0,42,19,755,0,89,3679668,2982031,0.8104076237312714,0.0003447314934016447,5.533141674248189e-05,0.00028940007665916284
2020,CT,991,0,122,0,33,14,750,0,72,3613442,3488526,0.9654301909370622,0.00028407413331590475,4.443137302115564e-05,0.00023964276029474912
2000,IA,1994,0,239,0,73,30,1596,0,56,3153624,2840965,0.9008572359926231,0.0007018741871159975,0.00010982183870621427,0.0005920523484097833
2001,IA,1911,0,158,0,68,34,1587,0,64,3199087,2861030,0.8943270376829389,0.0006679412659077325,7.89925306620343e-05,0.0005889487352456983
2002,IA,1941,0,154,0,80,37,1604,0,66,3146200,2864063,0.9103245184667218,0.0006777085559919597,8.170211339624862e-05,0.0005960064425957111
2003,IA,1965,0,197,0,60,41,1597,0,70,3193360,2916051,0.9131607460480498,0.000673856527200656,8.81328893081774e-05,0.0005857236378924785
2004,IA,2035,0,167,0,76,33,1670,0,89,3147746,2914838,0.9260080069992941,0.0006981520070755219,8.336655416184364e-05,0.0006147854529136782
2005,IA,2132,0,185,0,82,46,1736,0,83,3162663,2946920,0.931784385500447,0.0007234672132260122,9.060307032427077e-05,0.0006328641429017415
2006,IA,1941,0,124,0,95,33,1593,0,96,3173941,2946397,0.9283086862673251,0.000658770695191449,7.432806916379565e-05,0.0005844426260276534
2007,IA,2017,0,150,0,65,46,1654,0,102,3189662,2960191,0.9280578945355339,0.0006813749518189873,7.263044850822126e-05,0.0006087445033107661
2008,IA,2060,0,160,0,99,49,1666,0,86,3170469,2986415,0.941947390117992,0.0006897902669253938,8.672605783188203e-05,0.0006030642090935118
2009,IA,2122,0,152,0,125,45,1706,0,94,3205435,2983079,0.9306315679463162,0.0007113455594035559,9.285707820677897e-05,0.0006184884811967769
2010,IA,2057,0,159,0,81,45,1673,0,99,3236371,2985020,0.9223355418769974,0.0006891076106692752,8.040147134692565e-05,0.0006087061393223496
2011,IA,2142,0,181,0,95,39,1733,0,94,3179378,2932390,0.9223156227413035,0.0007304621827246717,9.412117760598011e-05,0.0006363410051186916
2012,IA,2225,0,161,0,110,32,1839,0,83,3248307,2973777,0.9154852050622062,0.0007482067417967117,9.112989978737478e-05,0.000657076842009337
2013,IA,2497,0,152,0,109,34,2110,0,92,3244635,2967622,0.9146242951826631,0.0008414144389009112,8.794920646901796e-05,0.0007534652324318933
2014,IA,2576,0,211,0,123,30,2114,0,98,3311006,3069576,0.9270825845679531,0.000839203850955311,0.00010880981607883303,0.0007303940348764781
2015,IA,2574,0,210,0,86,21,2129,0,128,3358187,3109068,0.9258174127885076,0.0008279008371640633,9.52053798758985e-05,0.0007326954572881648
2016,IA,2672,0,246,0,118,20,2156,0,132,3318993,3115599,0.9387181593935269,0.0008576199953845152,0.0001168314664371121,0.0007407885289474031
2017,IA,2693,0,227,0,112,22,2222,0,110,3196245,3114868,0.9745398115601276,0.000864563121133865,0.0001088328622593317,0.0007557302588745334
2018,IA,1972,0,153,0,64,7,1655,0,93,3235130,3107058,0.960412100904755,0.0006346840001055661,6.984098784123116e-05,0.0005648430122643349
2019,IA,2504,0,201,0,92,16,2053,0,142,3360588,3138760,0.9339913134249126,0.000797767271151665,9.334896583364131e-05,0.0007044183053180236
2020,IA,2842,0,276,0,92,7,2310,0,157,3277924,3083186,0.9405910570226765,0.0009217737755685191,0.0001193570546830454,0.0008024167208854736
2000,ID,778,0,118,0,27,80,477,0,76,1335701,1282539,0.9601991763126628,0.00060660923371531,0.00011305699085953721,0.0004935522428557728
2001,ID,797,0,99,0,28,82,505,0,83,1363532,1305535,0.9574656113681234,0.0006104776968828871,9.727812735774989e-05,0.0005131995695251372
2002,ID,838,0,120,0,35,91,511,0,81,1386037,1328471,0.9584671982061085,0.00063080037125387,0.0001166754863297731,0.0005141248849240969
2003,ID,911,0,186,0,35,84,510,0,96,1412529,1357404,0.9609742525640181,0.0006711340175806171,0.0001628107770420597,0.0005083232405385575
2004,ID,913,0,168,0,54,91,504,0,96,1440470,1392114,0.966430401188501,0.000655837093801226,0.00015946969860226965,0.0004963673951989564
2005,ID,1112,0,142,0,43,94,729,0,104,1533254,1425914,0.9299920300224229,0.0007798506782316465,0.0001297413448496894,0.0006501093333819571
2006,ID,1058,0,94,0,45,117,690,0,112,1523566,1464850,0.9614614660605448,0.0007222582516981261,9.489026180154964e-05,0.0006273679898965765
2007,ID,1149,0,121,0,36,126,745,0,121,1549218,1497812,0.9668180979048785,0.0007671189708721789,0.00010481956346991478,0.0006622994074022641
2008,ID,1206,0,203,0,38,111,746,0,108,1575635,1521749,0.9658004550546287,0.0007925091457263977,0.0001583704014262536,0.0006341387443001441
