year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2000,AR,8,0,1,0,3,0,3,0,1,3085403,369027,0.11960414895558213,2.167863056090747e-05,1.0839315280453734e-05,1.0839315280453734e-05
2001,AR,187,0,10,0,2,0,173,0,2,3075959,381356,0.12397954589121636,0.0004903554683812501,3.1466661072593585e-05,0.00045888880730865646
2002,AR,200,0,6,0,5,1,186,0,2,3211957,503181,0.15665869748567618,0.0003974712876678571,2.186092082173214e-05,0.00037561036684612495
2003,AR,627,0,82,0,14,1,502,0,28,3593973,1588733,0.4420547956258992,0.000394654104874765,6.0425508880346795e-05,0.0003342285959944182
2004,AR,1188,0,156,0,32,1,949,0,50,3214060,1848510,0.5751323870742924,0.0006426797799308632,0.00010170353419781337,0.0005409762457330499
2005,AR,1336,0,160,0,50,6,1070,0,50,3279873,2026415,0.6178333734263491,0.0006592923956840035,0.00010363128974074905,0.0005556611059432544
2006,AR,1358,0,174,0,56,7,1066,0,55,3274403,2198479,0.6714136897626835,0.0006176997824404964,0.00010461778347666728,0.0005130819989638291
2007,AR,1622,0,219,0,65,12,1274,0,52,3219651,2320498,0.7207296691473704,0.0006989878896685108,0.00012238752198881448,0.0005766003676796963
2008,AR,1883,0,294,0,101,9,1394,0,85,3002258,2599858,0.8659675484252186,0.0007242703255331637,0.00015193137471354205,0.0005723389508196216
2009,AR,2655,0,344,0,90,8,2093,0,120,2977838,2756991,0.925836462561093,0.0009630064080731494,0.0001574179966492455,0.0008055884114239038
2010,AR,2875,0,418,0,84,21,2237,0,115,3034697,2791891,0.9199900352489886,0.0010297679959568621,0.0001798064465983808,0.0008499615493584814
2011,AR,2776,0,376,0,97,20,2183,0,100,3020076,2871257,0.9507234255031992,0.0009668239380870469,0.0001647362113527281,0.0008020877267343188
2012,AR,2775,0,441,0,125,16,2071,0,122,3082595,2893495,0.9386555807688003,0.0009590477951404789,0.00019561118992775174,0.0007634366052127272
2013,AR,2566,0,417,0,96,9,1933,0,111,3109825,2905664,0.9343496820560643,0.0008831027950926191,0.00017655172793550804,0.0007065510671571111
2014,AR,2527,0,404,0,86,10,1920,0,107,3142121,2907341,0.9252797712118661,0.0008691790883835092,0.00016853888140400456,0.0007006402069795046
2015,AR,3011,0,450,0,117,5,2331,0,108,3155575,2929845,0.928466285859154,0.0010276994175459793,0.0001935255960639556,0.0008341738214820238
2016,AR,3272,0,494,0,127,8,2490,0,153,3097115,2960488,0.9558857194518124,0.001105223192933057,0.0002097627147956688,0.0008954604781373881
2017,AR,3246,0,510,0,125,9,2455,0,147,3021597,2959475,0.9794406732598688,0.001096816158271315,0.0002145650833340373,0.0008822510749372778
2018,AR,3623,0,605,0,146,8,2675,0,189,3031153,2922485,0.9641496156742995,0.0012396984073485408,0.0002569730896822396,0.000982725317666301
2019,AR,3712,0,553,0,154,3,2849,0,153,3108635,2911046,0.9364386619850835,0.0012751430241913044,0.00024286802750626406,0.0010322749966850404
2020,AR,4256,0,624,0,147,1,3316,0,168,3145288,2821186,0.8969563359539731,0.0015085853963545828,0.00027328931874750546,0.0012352960776070773
2000,CO,1207,0,105,0,49,22,885,0,146,4739066,2470043,0.5212088204722196,0.0004886554606539238,6.234709274291986e-05,0.000426308367911004
2001,CO,1227,0,84,0,56,28,925,0,134,4950097,2405078,0.48586482244691365,0.0005101705641147605,5.8210170314642604e-05,0.0004519603938001179
2002,CO,1370,0,110,0,77,29,993,0,161,4650164,2286135,0.49162459646584505,0.0005992646978415535,8.179744415793468e-05,0.0005174672536836189
2003,CO,1379,0,108,0,110,24,981,0,156,4703735,2397770,0.5097587342824372,0.0005751177135421663,9.091781113284427e-05,0.000484199902409322
2004,CO,1709,0,145,0,123,26,1252,0,163,4843831,2668668,0.5509415997378934,0.0006403943840147969,0.0001004246313141987,0.0005399697527005982
2005,CO,2598,0,205,0,150,61,1955,0,227,4923114,3481816,0.7072385486096808,0.0007461623474646564,0.00010195828843339223,0.0006442040590312641
2006,CO,2826,0,252,0,153,77,2072,0,272,4861895,3625831,0.7457649743567066,0.0007794075344383123,0.0001116985320054906,0.0006677090024328216
2007,CO,2760,0,272,0,147,65,1986,0,290,5025127,3779170,0.7520546246890875,0.0007303190912290265,0.00011087090551629061,0.0006194481857127359
2008,CO,2836,0,369,0,156,75,1969,0,267,5374701,4127740,0.7679943498252275,0.0006870587779269043,0.00012718824344556585,0.0005598705344813385
2009,CO,3008,0,380,0,221,73,2054,0,280,5228857,4009223,0.7667494062277855,0.0007502700647980918,0.00014990435802648044,0.0006003657067716113
2010,CO,2979,0,346,0,208,75,2024,0,326,5480866,4344110,0.7925955496813825,0.0006857561157521334,0.00012752899903547562,0.0005582271167166577
2011,CO,2700,0,317,0,193,63,1817,0,310,5490450,4492005,0.8181487856186651,0.0006010678972975319,0.0001135350472673116,0.00048753285003022036
2012,CO,3070,0,360,0,266,53,2027,0,364,5306586,5090810,0.959338075365216,0.0006030474521736227,0.00012296667917286247,0.0004800807730007602
2013,CO,3047,0,405,0,276,52,1957,0,357,5365782,5173490,0.9641632850533249,0.0005889641228648359,0.00013163261164127118,0.00045733151122356473
2014,CO,3104,0,393,0,251,59,1999,0,402,5492445,5279319,0.9611965163055798,0.0005879546206622483,0.00012198543031781183,0.00046596919034443644
2015,CO,2971,0,297,0,268,26,1916,0,464,5614411,5445853,0.9699776165300331,0.0005455527352647969,0.00010374866894130267,0.00044180406632349424
2016,CO,3584,0,437,0,304,33,2329,0,481,5699669,5519770,0.9684369390573383,0.0006493024165861983,0.0001342447239649478,0.0005150576926212505
2017,CO,3991,0,433,0,303,31,2657,0,567,5664706,5582261,0.9854458466158703,0.0007149432819425677,0.00013184621786763463,0.000583097064074933
2018,CO,4575,0,447,0,348,37,3174,0,569,5757543,5663901,0.9837357706229897,0.0008077471693096331,0.00014036262286364117,0.0006673845464459919
2019,CO,4548,0,473,0,307,47,3173,0,548,5897543,5717847,0.9695303620507727,0.0007954042841650013,0.00013641498277236169,0.0006589893013926396
2020,CO,5307,0,584,0,284,22,3810,0,607,6060729,5754151,0.9494156561034159,0.0009222907080471125,0.000150847622872601,0.0007714430851745115
2000,CT,468,0,55,0,10,9,366,0,28,4283356,1610487,0.3759871932195223,0.00029059532923891965,4.0360462394294396e-05,0.00025023486684462527
2001,CT,653,0,104,0,19,20,475,0,35,4178846,1785765,0.4273344842092769,0.0003656696149829345,6.887804386355427e-05,0.0002967915711193802
2002,CT,562,0,86,0,22,17,402,0,35,4211952,1964031,0.4662994734982735,0.00028614619626675955,5.4988948748772297e-05,0.00023115724751798724
2003,CT,497,0,56,0,25,23,361,0,32,3880135,2097750,0.5406384056224848,0.00023692051007031343,3.8612799427958526e-05,0.0001983077106423549
2004,CT,594,0,90,0,40,37,380,0,47,3751301,2042521,0.5444833672371265,0.00029081708339840815,6.364683643399504e-05,0.0002271702469644131
2005,CT,540,0,72,0,31,43,335,0,59,3792528,2221976,0.5858825564372894,0.0002430269273835541,4.635513614908532e-05,0.00019667179123446877
2006,CT,496,0,48,0,39,48,310,0,51,3764006,2246766,0.596908187712772,0.00022076175267028253,3.872232355305359e-05,0.00018203942911722894
2007,CT,816,0,95,0,44,28,584,0,65,3817352,2339243,0.6127920610936587,0.0003488307969714989,5.942093232725287e-05,0.00028940986464424603
2008,CT,1093,0,177,0,41,25,782,0,68,3640379,2427292,0.6667690369601627,0.00045029605008379707,8.981202096822302e-05,0.00036048402911557405
2009,CT,1030,0,180,0,38,24,731,0,57,3609641,2460980,0.6817797116112101,0.0004185324545506262,8.858259717673447e-05,0.0003299498573738917
2010,CT,984,0,197,0,33,23,683,0,48,3694281,2520941,0.6823901592759186,0.0003903304361347608,9.123577267377539e-05,0.0002990946634609854
2011,CT,1103,0,179,0,37,31,802,0,54,3672721,2586191,0.7041621184947073,0.00042649595486180257,8.352051337275553e-05,0.000342975441489047
2012,CT,1023,0,176,0,52,30,719,0,46,3702874,2598231,0.7016795602550884,0.00039372942590554884,8.775201281179387e-05,0.0003059774130937549
2013,CT,994,0,147,0,49,24,709,0,65,3687931,2618964,0.7101445227689998,0.00037953939038490027,7.483875303364231e-05,0.00030470063735125796
