"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1960,"Alaska",55,6,0.11,0,0,0,0,226167,0
1960,"Alabama",491,129,0.26,0,0,0,0,3324840,0
1960,"Arkansas",352,112,0.32,0,0,1,0.01,1810544,0
1960,"American Samoa",1,0,0,0,0,0,0,0,0
1960,"Arizona",174,40,0.23,0,0,0,0,1306352,0
1960,"California",939,378,0.40,0,0,0,0,16190816,0
1960,"Colorado",323,101,0.31,0,0,1,0.01,1774226,0
1960,"Connecticut",129,56,0.43,0,0,0,0,2557022,0
1960,"Canal Zone",1,0,0,0,0,0,0,42122,0
1960,"District of Columbia",3,1,0.33,0,0,0,0,763956,0
1960,"Delaware",84,10,0.12,0,0,0,0,453611,0
1960,"Florida",1223,145,0.12,0,0,0,0,5021308,0
1960,"Georgia",829,239,0.29,0,0,2,0.01,3984144,0
1960,"Guam",3,1,0.33,0,0,0,0,62044,0
1960,"Hawaii",18,13,0.72,0,0,0,0,636977,0
1960,"Iowa",301,190,0.63,0,0,1,0.01,2766036,0
1960,"Idaho",154,75,0.49,0,0,0,0,658805,0
1960,"Illinois",1191,377,0.32,0,0,0,0,10125616,0
1960,"Indiana",451,211,0.47,0,0,0,0,4665785,0
1960,"Kansas",474,183,0.39,0,0,1,0.01,2189131,0
1960,"Kentucky",727,179,0.25,0,0,0,0,3042326,0
1960,"Louisiana",315,89,0.28,0,0,1,0.01,3394657,0
1960,"Massachusetts",512,145,0.28,0,0,0,0,5166360,0
1960,"Maryland",225,43,0.19,0,0,0,0,3172495,0
1960,"Maine",260,62,0.24,0,0,0,0,971919,0
1960,"Michigan",875,267,0.31,0,0,0,0,7831982,0
1960,"Minnesota",499,204,0.41,0,0,0,0,3422563,0
1960,"Missouri",731,222,0.30,0,0,1,0.00,4385148,0
1960,"Mississippi",278,104,0.37,0,0,0,0,2182022,0
1960,"Montana",149,81,0.54,0,0,0,0,679448,0
1960,"Nebraska",343,126,0.37,0,0,0,0,1414511,0
1960,"North Carolina",831,185,0.22,0,0,0,0,4541781,0
1960,"North Dakota",146,68,0.47,0,0,0,0,632446,0
1960,"New Hampshire",264,30,0.11,0,0,0,0,606921,0
1960,"New Jersey",658,275,0.42,0,0,0,0,6049690,0
1960,"New Mexico",164,47,0.29,0,0,0,0,982964,0
1960,"Nevada",81,26,0.32,0,0,0,0,285278,0
1960,"New York",1259,280,0.22,0,0,0,0,17501185,0
1960,"Ohio",936,349,0.37,0,0,0,0,9712882,0
1960,"Oklahoma",508,156,0.31,0,0,0,0,2346856,0
1960,"Oregon",305,87,0.29,0,0,0,0,1764906,0
1960,"Pennsylvania",1906,375,0.20,0,0,0,0,11522390,0
1960,"Puerto Rico",25,0,0,0,0,0,0,0,0
1960,"Rhode Island",64,25,0.39,0,0,0,0,926143,0
1960,"South Carolina",577,87,0.15,0,0,1,0.01,2419593,0
1960,"South Dakota",194,82,0.42,0,0,0,0,680514,0
1960,"Tennessee",607,145,0.24,0,0,0,0,3474686,0
1960,"Texas",1295,444,0.34,0,0,2,0.00,9780327,0
1960,"Utah",203,57,0.28,0,0,0,0,918426,0
1960,"US Virgin Islands",3,0,0,0,0,0,0,0,0
1960,"Virginia",494,129,0.26,0,0,0,0,3851616,0
1960,"Vermont",105,23,0.22,0,0,0,0,389881,0
1960,"Washington",329,100,0.30,0,0,1,0.01,2864810,0
1960,"Wisconsin",493,179,0.36,0,0,0,0,4028618,0
1960,"West Virginia",544,51,0.09,0,0,0,0,1860421,0
