,date,state,max_WBA
0,2000-01-01,Alabama,190
1,2000-01-01,Alaska,248
2,2000-01-01,Arizona,205
3,2000-01-01,Arkansas,321
4,2000-01-01,California,230
5,2000-01-01,Colorado,358
6,2000-01-01,Connecticut,397
7,2000-01-01,Delaware,315
8,2000-01-01,District of Columbia,309
9,2000-01-01,Florida,275
10,2000-01-01,Georgia,274
11,2000-01-01,Hawaii,383
12,2000-01-01,Idaho,296
13,2000-01-01,Illinois,315
14,2000-01-01,Indiana,288
15,2000-01-01,Iowa,273
16,2000-01-01,Kansas,320
17,2000-01-01,Kentucky,329
18,2000-01-01,Louisiana,258
19,2000-01-01,Maine,265
20,2000-01-01,Maryland,280
21,2000-01-01,Massachusetts,477
22,2000-01-01,Michigan,300
23,2000-01-01,Minnesota,331
24,2000-01-01,Mississippi,190
25,2000-01-01,Missouri,250
26,2000-01-01,Montana,263
27,2000-01-01,Nebraska,252
28,2000-01-01,Nevada,291
29,2000-01-01,New Hampshire,301
30,2000-01-01,New Jersey,429
31,2000-01-01,New Mexico,267
32,2000-01-01,New York,405
33,2000-01-01,North Carolina,375
34,2000-01-01,North Dakota,293
35,2000-01-01,Ohio,303
36,2000-01-01,Oklahoma,291
37,2000-01-01,Oregon,376
38,2000-01-01,Pennsylvania,430
39,2000-01-01,Puerto Rico,133
40,2000-01-01,Rhode Island,397
41,2000-01-01,South Carolina,259
42,2000-01-01,South Dakota,224
43,2000-01-01,Tennessee,255
44,2000-01-01,Texas,294
45,2000-01-01,Utah,355
46,2000-01-01,Vermont,298
47,2000-01-01,Virgin Islands,331
48,2000-01-01,Virginia,268
49,2000-01-01,Washington,441
50,2000-01-01,West Virginia,327
51,2000-01-01,Wisconsin,313
52,2000-01-01,Wyoming,271
53,2000-07-01,Alabama,190
54,2000-07-01,Alaska,248
55,2000-07-01,Arizona,205
56,2000-07-01,Arkansas,321
57,2000-07-01,California,230
58,2000-07-01,Colorado,337
59,2000-07-01,Connecticut,382
60,2000-07-01,Delaware,315
61,2000-07-01,District of Columbia,309
62,2000-07-01,Florida,275
63,2000-07-01,Georgia,264
64,2000-07-01,Hawaii,371
65,2000-07-01,Idaho,273
66,2000-07-01,Illinois,284
67,2000-07-01,Indiana,252
68,2000-07-01,Iowa,263
69,2000-07-01,Kansas,306
70,2000-07-01,Kentucky,316
71,2000-07-01,Louisiana,258
72,2000-07-01,Maine,265
73,2000-07-01,Maryland,250
74,2000-07-01,Massachusetts,431
75,2000-07-01,Michigan,300
76,2000-07-01,Minnesota,331
77,2000-07-01,Mississippi,190
78,2000-07-01,Missouri,235
79,2000-07-01,Montana,254
80,2000-07-01,Nebraska,206
81,2000-07-01,Nevada,282
82,2000-07-01,New Hampshire,301
83,2000-07-01,New Jersey,429
84,2000-07-01,New Mexico,254
85,2000-07-01,New York,365
86,2000-07-01,North Carolina,356
87,2000-07-01,North Dakota,283
88,2000-07-01,Ohio,279
89,2000-07-01,Oklahoma,283
90,2000-07-01,Oregon,360
91,2000-07-01,Pennsylvania,408
92,2000-07-01,Puerto Rico,133
93,2000-07-01,Rhode Island,397
94,2000-07-01,South Carolina,248
95,2000-07-01,South Dakota,214
96,2000-07-01,Tennessee,255
97,2000-07-01,Texas,294
98,2000-07-01,Utah,309
99,2000-07-01,Vermont,298
100,2000-07-01,Virgin Islands,233
101,2000-07-01,Virginia,230
102,2000-07-01,Washington,441
103,2000-07-01,West Virginia,318
104,2000-07-01,Wisconsin,297
105,2000-07-01,Wyoming,261
106,2001-01-01,Alabama,190
