,state,month,initial_claims,weeks_claimed,weeks_compensated,first_payment,partial_weeks,weekly_benefit_amounts
0,Alabama,Jan,12918.0,69926.0,53716.0,5250.0,3179.0,
1,Alaska,Jan,5105.0,39919.0,33608.0,2239.0,1725.0,
2,Arizona,Jan,17551.0,66970.0,54980.0,4050.0,1312.0,
3,Arkansas,Jan,8998.0,50154.0,34786.0,4332.0,4841.0,
4,California,Jan,222158.0,1567289.0,1379887.0,102237.0,84738.0,
5,Colorado,Jan,10920.0,92376.0,79850.0,7678.0,4732.0,
6,Connecticut,Jan,19233.0,176983.0,173993.0,17211.0,20212.0,
7,Delaware,Jan,3587.0,26495.0,23705.0,1927.0,1888.0,
8,District of Columbia,Jan,2631.0,28827.0,26026.0,1557.0,2507.0,
9,Florida,Jan,25980.0,135708.0,104997.0,10188.0,3417.0,
10,Georgia,Jan,45981.0,145090.0,118532.0,22040.0,25931.0,
11,Hawaii,Jan,5898.0,29470.0,26765.0,2245.0,3089.0,
12,Idaho,Jan,7538.0,43679.0,36334.0,4840.0,4586.0,
13,Illinois,Jan,55133.0,564366.0,486165.0,48856.0,11569.0,
14,Indiana,Jan,16945.0,114497.0,86767.0,10424.0,1554.0,
15,Iowa,Jan,17461.0,131014.0,154466.0,18970.0,20488.0,
16,Kansas,Jan,10128.0,46596.0,36492.0,4492.0,3599.0,
17,Kentucky,Jan,14700.0,97983.0,88066.0,7319.0,2494.0,
18,Louisiana,Jan,9085.0,51718.0,45436.0,3488.0,1213.0,
19,Maine,Jan,5369.0,34692.0,30384.0,3593.0,1522.0,
20,Maryland,Jan,16103.0,119752.0,114270.0,9674.0,8910.0,
21,Massachusetts,Jan,30077.0,312954.0,289124.0,24606.0,18675.0,
22,Michigan,Jan,54329.0,353155.0,327537.0,45059.0,28169.0,
23,Minnesota,Jan,20490.0,283621.0,235966.0,21128.0,17700.0,
24,Mississippi,Jan,5119.0,29168.0,24399.0,2167.0,1063.0,
25,Missouri,Jan,28576.0,114957.0,97008.0,11540.0,5374.0,
26,Montana,Jan,5154.0,45772.0,34202.0,3964.0,8188.0,
