,Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%),Average Tax Rate on Total Wages (%)
Date,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00
State,,,,,,,,,,,,,,,,,,,,,
Alabama,0.34,0.39,0.41,0.49,0.51,0.58,0.41,0.36,0.4,0.4,0.8,0.9,0.7,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.2
Alaska,1.75,1.64,1.58,1.49,1.68,1.89,1.83,1.53,1.3,1.1,1.2,1.5,1.9,2.1,1.6,1.3,1.2,1.1,1.0,1.0,0.9
Arizona,0.29,0.23,0.21,0.21,0.26,0.33,0.34,0.34,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3
Arkansas,0.72,0.65,0.68,0.86,0.92,0.91,0.86,0.76,0.8,0.8,1.1,1.2,1.2,1.1,1.0,0.9,0.7,0.6,0.4,0.4,0.2
California,0.53,0.53,0.51,0.6,0.85,0.86,0.81,0.73,0.7,0.7,0.8,0.9,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.5,0.5
Colorado,0.27,0.26,0.26,0.31,0.55,0.7,0.59,0.47,0.4,0.4,0.5,0.9,0.9,0.7,0.7,0.6,0.6,0.5,0.4,0.4,0.3
Connecticut,0.49,0.43,0.8,0.87,0.92,0.85,0.71,0.67,0.7,0.8,0.9,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.8,0.7
Delaware,0.48,0.41,0.39,0.41,0.47,0.49,0.52,0.46,0.5,0.5,0.6,0.6,0.7,0.6,0.8,0.7,0.6,0.5,0.4,0.4,0.4
District of Columbia,0.48,0.44,0.41,0.39,0.43,0.41,0.34,0.32,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
Florida,0.22,0.3,0.3,0.35,0.46,0.51,0.45,0.34,0.3,0.3,0.5,0.7,0.9,0.8,0.6,0.4,0.3,0.2,0.1,0.1,0.1
Georgia,0.14,0.14,0.14,0.15,0.63,0.55,0.46,0.37,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.2
Hawaii,1.15,0.79,0.83,1.17,0.82,0.86,0.86,0.57,0.3,0.3,1.2,1.7,1.8,2.2,1.2,0.9,0.7,0.7,0.7,0.8,0.8
Idaho,0.76,0.8,0.82,0.84,0.85,0.94,0.99,0.76,0.5,0.9,1.9,1.9,1.9,1.6,1.1,0.9,0.8,0.8,0.5,0.5,0.5
Illinois,0.57,0.52,0.57,0.72,1.03,1.31,1.14,0.96,0.8,0.6,0.9,1.2,1.4,1.2,1.0,0.8,0.8,0.7,0.6,0.5,0.5
Indiana,0.37,0.27,0.31,0.45,0.56,0.72,0.66,0.61,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4
Iowa,0.64,0.64,0.66,0.82,0.83,0.85,0.85,0.84,0.8,0.8,1.2,1.5,1.3,1.1,0.9,0.7,0.9,0.9,0.7,0.7,0.7
Kansas,0.43,0.49,0.52,0.65,0.83,0.88,0.78,0.48,0.5,0.5,0.8,0.9,0.9,0.9,0.7,0.9,0.5,0.4,0.5,0.5,0.4
Kentucky,0.59,0.5,0.66,0.67,0.71,0.76,0.72,0.68,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.5,0.5,0.4
Louisiana,0.38,0.42,0.43,0.44,0.45,0.38,0.36,0.33,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
Maine,1.15,1.17,0.76,0.61,0.6,0.68,0.68,0.67,0.6,0.6,0.9,1.0,1.0,1.1,0.9,0.8,0.7,0.6,0.6,0.6,0.5
Maryland,0.4,0.36,0.34,0.36,0.65,0.62,0.51,0.4,0.4,0.4,0.9,1.0,1.1,0.8,0.5,0.6,0.5,0.4,0.4,0.3,0.3
Massachusetts,0.68,0.66,0.67,0.71,1.22,1.3,1.18,1.04,1.0,1.0,1.2,1.2,1.1,1.1,1.0,0.7,0.7,0.7,0.8,0.8,0.7
Michigan,0.73,0.71,0.72,0.84,0.99,1.04,1.09,1.1,1.1,1.1,1.2,1.2,1.3,1.2,1.0,0.9,0.8,0.7,0.6,0.6,0.6
Minnesota,0.46,0.43,0.44,0.66,0.75,0.9,0.87,0.77,0.7,0.7,0.9,1.1,1.2,1.2,0.9,0.7,0.6,0.6,0.6,0.5,0.5
