,State,date,weekly_benefit_amounts
0,Alabama,2020-01-01,237.56
1,Alaska,2020-01-01,275.62
2,Arizona,2020-01-01,234.04
3,Arkansas,2020-01-01,277.7
4,California,2020-01-01,341.65
5,Colorado,2020-01-01,457.43
6,Connecticut,2020-01-01,424.27
7,Delaware,2020-01-01,291.34
8,District of Columbia,2020-01-01,359.83
9,Florida,2020-01-01,253.7
10,Georgia,2020-01-01,318.41
11,Hawaii,2020-01-01,540.98
12,Idaho,2020-01-01,349.25
13,Illinois,2020-01-01,419.42
14,Indiana,2020-01-01,307.3
15,Iowa,2020-01-01,426.64
16,Kansas,2020-01-01,401.9
17,Kentucky,2020-01-01,377.45
18,Louisiana,2020-01-01,218.91
19,Maine,2020-01-01,355.11
20,Maryland,2020-01-01,353.36
21,Massachusetts,2020-01-01,545.98
22,Michigan,2020-01-01,331.07
23,Minnesota,2020-01-01,487.69
24,Mississippi,2020-01-01,213.15
25,Missouri,2020-01-01,267.83
26,Montana,2020-01-01,400.6
27,Nebraska,2020-01-01,360.15
28,Nevada,2020-01-01,378.49
29,New Hampshire,2020-01-01,333.42
30,New Jersey,2020-01-01,470.88
31,New Mexico,2020-01-01,347.47
32,New York,2020-01-01,388.6
33,North Carolina,2020-01-01,272.41
34,North Dakota,2020-01-01,485.79
35,Ohio,2020-01-01,387.13
36,Oklahoma,2020-01-01,408.13
37,Oregon,2020-01-01,422.49
38,Pennsylvania,2020-01-01,405.77
39,Puerto Rico,2020-01-01,162.57
40,Rhode Island,2020-01-01,383.46
41,South Carolina,2020-01-01,257.56
42,South Dakota,2020-01-01,361.02
43,Tennessee,2020-01-01,241.32
44,Texas,2020-01-01,434.23
45,Utah,2020-01-01,428.73
46,Vermont,2020-01-01,400.76
47,Virgin Islands,2020-01-01,417.86
48,Virginia,2020-01-01,312.8
49,Washington,2020-01-01,488.15
50,West Virginia,2020-01-01,341.01
51,Wisconsin,2020-01-01,331.33
52,Wyoming,2020-01-01,416.76
53,US,2020-01-01,384.94
54,Alabama,2020-02-01,242.67
55,Alaska,2020-02-01,272.65
56,Arizona,2020-02-01,234.35
57,Arkansas,2020-02-01,283.32
58,California,2020-02-01,338.9
59,Colorado,2020-02-01,459.64
60,Connecticut,2020-02-01,425.19
61,Delaware,2020-02-01,298.45
62,District of Columbia,2020-02-01,360.69
63,Florida,2020-02-01,254.21
64,Georgia,2020-02-01,318.9
65,Hawaii,2020-02-01,543.06
66,Idaho,2020-02-01,354.09
67,Illinois,2020-02-01,426.73
68,Indiana,2020-02-01,305.09
69,Iowa,2020-02-01,428.79
70,Kansas,2020-02-01,404.24
71,Kentucky,2020-02-01,383.57
72,Louisiana,2020-02-01,220.4
73,Maine,2020-02-01,356.95
74,Maryland,2020-02-01,357.78
75,Massachusetts,2020-02-01,549.63
76,Michigan,2020-02-01,329.75
77,Minnesota,2020-02-01,487.56
78,Mississippi,2020-02-01,214.71
79,Missouri,2020-02-01,272.71
80,Montana,2020-02-01,397.14
81,Nebraska,2020-02-01,365.55
82,Nevada,2020-02-01,378.31
83,New Hampshire,2020-02-01,339.17
84,New Jersey,2020-02-01,474.35
85,New Mexico,2020-02-01,350.5
86,New York,2020-02-01,390.07
87,North Carolina,2020-02-01,271.71
88,North Dakota,2020-02-01,485.84
89,Ohio,2020-02-01,394.42
90,Oklahoma,2020-02-01,409.15
91,Oregon,2020-02-01,419.62
92,Pennsylvania,2020-02-01,413.43
93,Puerto Rico,2020-02-01,161.0
94,Rhode Island,2020-02-01,387.99
95,South Carolina,2020-02-01,262.11
96,South Dakota,2020-02-01,365.96
97,Tennessee,2020-02-01,241.23
98,Texas,2020-02-01,437.6
99,Utah,2020-02-01,429.5
100,Vermont,2020-02-01,409.4
101,Virgin Islands,2020-02-01,433.36
102,Virginia,2020-02-01,318.85
103,Washington,2020-02-01,480.75
104,West Virginia,2020-02-01,339.6
105,Wisconsin,2020-02-01,337.25
106,Wyoming,2020-02-01,418.32
107,US,2020-02-01,386.68
108,Alabama,2020-03-01,248.65
109,Alaska,2020-03-01,273.14
110,Arizona,2020-03-01,234.38
111,Arkansas,2020-03-01,271.47
112,California,2020-03-01,336.78
113,Colorado,2020-03-01,455.64
114,Connecticut,2020-03-01,405.97
115,Delaware,2020-03-01,289.62
116,District of Columbia,2020-03-01,366.26
117,Florida,2020-03-01,254.57
118,Georgia,2020-03-01,297.62
119,Hawaii,2020-03-01,542.52
120,Idaho,2020-03-01,343.6
121,Illinois,2020-03-01,418.56
122,Indiana,2020-03-01,296.82
123,Iowa,2020-03-01,417.96
124,Kansas,2020-03-01,393.05
125,Kentucky,2020-03-01,388.34
126,Louisiana,2020-03-01,210.62
127,Maine,2020-03-01,349.92
128,Maryland,2020-03-01,352.62
129,Massachusetts,2020-03-01,557.19
130,Michigan,2020-03-01,326.15
131,Minnesota,2020-03-01,452.18
132,Mississippi,2020-03-01,211.92
133,Missouri,2020-03-01,269.39
134,Montana,2020-03-01,388.88
135,Nebraska,2020-03-01,352.92
136,Nevada,2020-03-01,371.43
137,New Hampshire,2020-03-01,307.27
138,New Jersey,2020-03-01,460.6
139,New Mexico,2020-03-01,344.58
140,New York,2020-03-01,382.71
141,North Carolina,2020-03-01,268.2
142,North Dakota,2020-03-01,481.45
143,Ohio,2020-03-01,378.76
144,Oklahoma,2020-03-01,389.99
145,Oregon,2020-03-01,416.74
146,Pennsylvania,2020-03-01,410.47
147,Puerto Rico,2020-03-01,162.05
148,Rhode Island,2020-03-01,352.04
149,South Carolina,2020-03-01,263.52
150,South Dakota,2020-03-01,362.4
151,Tennessee,2020-03-01,242.03
152,Texas,2020-03-01,426.7
153,Utah,2020-03-01,426.27
154,Vermont,2020-03-01,396.79
155,Virgin Islands,2020-03-01,448.17
156,Virginia,2020-03-01,300.76
157,Washington,2020-03-01,464.5
158,West Virginia,2020-03-01,325.34
159,Wisconsin,2020-03-01,326.95
160,Wyoming,2020-03-01,414.18
161,US,2020-03-01,377.93
162,Alabama,2020-04-01,254.95
163,Alaska,2020-04-01,257.87
164,Arizona,2020-04-01,239.04
165,Arkansas,2020-04-01,236.8
166,California,2020-04-01,314.88
167,Colorado,2020-04-01,391.25
168,Connecticut,2020-04-01,294.87
169,Delaware,2020-04-01,272.02
170,District of Columbia,2020-04-01,369.33
171,Florida,2020-04-01,239.39
172,Georgia,2020-04-01,269.09
173,Hawaii,2020-04-01,506.29
174,Idaho,2020-04-01,303.09
175,Illinois,2020-04-01,357.34
176,Indiana,2020-04-01,272.72
177,Iowa,2020-04-01,340.4
178,Kansas,2020-04-01,360.62
179,Kentucky,2020-04-01,356.64
180,Louisiana,2020-04-01,195.32
181,Maine,2020-04-01,333.15
182,Maryland,2020-04-01,333.02
183,Massachusetts,2020-04-01,531.09
184,Michigan,2020-04-01,332.51
185,Minnesota,2020-04-01,383.56
186,Mississippi,2020-04-01,206.18
187,Missouri,2020-04-01,251.75
188,Montana,2020-04-01,367.68
189,Nebraska,2020-04-01,301.99
190,Nevada,2020-04-01,358.58
191,New Hampshire,2020-04-01,263.9
192,New Jersey,2020-04-01,430.8
193,New Mexico,2020-04-01,314.11
194,New York,2020-04-01,361.59
195,North Carolina,2020-04-01,242.44
196,North Dakota,2020-04-01,391.79
197,Ohio,2020-04-01,340.85
198,Oklahoma,2020-04-01,336.34
199,Oregon,2020-04-01,443.25
200,Pennsylvania,2020-04-01,359.95
201,Puerto Rico,2020-04-01,415.31
202,Rhode Island,2020-04-01,327.93
203,South Carolina,2020-04-01,254.05
204,South Dakota,2020-04-01,292.17
205,Tennessee,2020-04-01,227.99
206,Texas,2020-04-01,358.22
207,Utah,2020-04-01,343.87
208,Vermont,2020-04-01,311.71
209,Virgin Islands,2020-04-01,408.84
210,Virginia,2020-04-01,271.66
211,Washington,2020-04-01,447.51
212,West Virginia,2020-04-01,257.36
213,Wisconsin,2020-04-01,297.29
214,Wyoming,2020-04-01,374.72
215,US,2020-04-01,334.26
216,Alabama,2020-05-01,249.76
217,Alaska,2020-05-01,248.12
218,Arizona,2020-05-01,240.68
219,Arkansas,2020-05-01,219.86
220,California,2020-05-01,305.82
221,Colorado,2020-05-01,375.25
222,Connecticut,2020-05-01,322.22
223,Delaware,2020-05-01,254.23
224,District of Columbia,2020-05-01,358.36
225,Florida,2020-05-01,237.7
226,Georgia,2020-05-01,265.56
227,Hawaii,2020-05-01,466.14
228,Idaho,2020-05-01,287.42
229,Illinois,2020-05-01,333.48
230,Indiana,2020-05-01,230.12
231,Iowa,2020-05-01,327.79
232,Kansas,2020-05-01,344.13
233,Kentucky,2020-05-01,332.16
234,Louisiana,2020-05-01,186.59
235,Maine,2020-05-01,335.08
236,Maryland,2020-05-01,322.1
237,Massachusetts,2020-05-01,444.96
238,Michigan,2020-05-01,317.95
239,Minnesota,2020-05-01,374.58
240,Mississippi,2020-05-01,192.83
241,Missouri,2020-05-01,246.45
242,Montana,2020-05-01,341.37
243,Nebraska,2020-05-01,339.11
244,Nevada,2020-05-01,354.7
245,New Hampshire,2020-05-01,253.57
246,New Jersey,2020-05-01,419.1
247,New Mexico,2020-05-01,312.96
248,New York,2020-05-01,347.64
249,North Carolina,2020-05-01,223.21
250,North Dakota,2020-05-01,406.57
251,Ohio,2020-05-01,334.0
252,Oklahoma,2020-05-01,338.77
253,Oregon,2020-05-01,360.61
254,Pennsylvania,2020-05-01,344.86
255,Puerto Rico,2020-05-01,160.54
256,Rhode Island,2020-05-01,317.88
257,South Carolina,2020-05-01,246.6
258,South Dakota,2020-05-01,275.33
259,Tennessee,2020-05-01,269.06
260,Texas,2020-05-01,351.18
261,Utah,2020-05-01,343.05
262,Vermont,2020-05-01,348.51
263,Virgin Islands,2020-05-01,359.33
264,Virginia,2020-05-01,260.64
265,Washington,2020-05-01,497.4
266,West Virginia,2020-05-01,242.81
267,Wisconsin,2020-05-01,289.77
268,Wyoming,2020-05-01,378.37
269,US,2020-05-01,319.43
270,Alabama,2020-06-01,245.53
271,Alaska,2020-06-01,244.9
272,Arizona,2020-06-01,241.15
273,Arkansas,2020-06-01,213.88
274,California,2020-06-01,286.86
275,Colorado,2020-06-01,365.59
276,Connecticut,2020-06-01,298.29
277,Delaware,2020-06-01,240.24
278,District of Columbia,2020-06-01,353.01
279,Florida,2020-06-01,233.45
280,Georgia,2020-06-01,263.3
281,Hawaii,2020-06-01,456.19
282,Idaho,2020-06-01,286.26
283,Illinois,2020-06-01,319.86
284,Indiana,2020-06-01,221.9
285,Iowa,2020-06-01,315.08
286,Kansas,2020-06-01,337.27
287,Kentucky,2020-06-01,296.29
288,Louisiana,2020-06-01,182.81
289,Maine,2020-06-01,303.85
290,Maryland,2020-06-01,310.95
291,Massachusetts,2020-06-01,425.55
292,Michigan,2020-06-01,307.01
293,Minnesota,2020-06-01,373.19
294,Mississippi,2020-06-01,187.07
295,Missouri,2020-06-01,241.65
296,Montana,2020-06-01,331.31
297,Nebraska,2020-06-01,279.8
298,Nevada,2020-06-01,353.63
299,New Hampshire,2020-06-01,239.67
300,New Jersey,2020-06-01,405.46
301,New Mexico,2020-06-01,316.87
302,New York,2020-06-01,337.0
303,North Carolina,2020-06-01,219.54
304,North Dakota,2020-06-01,426.29
305,Ohio,2020-06-01,327.39
306,Oklahoma,2020-06-01,347.47
307,Oregon,2020-06-01,361.78
308,Pennsylvania,2020-06-01,332.38
309,Puerto Rico,2020-06-01,158.76
310,Rhode Island,2020-06-01,311.29
311,South Carolina,2020-06-01,234.37
312,South Dakota,2020-06-01,280.52
313,Tennessee,2020-06-01,215.38
314,Texas,2020-06-01,353.15
315,Utah,2020-06-01,347.8
316,Vermont,2020-06-01,334.98
317,Virgin Islands,2020-06-01,351.41
318,Virginia,2020-06-01,254.63
319,Washington,2020-06-01,413.47
320,West Virginia,2020-06-01,236.7
321,Wisconsin,2020-06-01,290.03
322,Wyoming,2020-06-01,395.47
323,US,2020-06-01,305.91
324,Alabama,2020-07-01,260.09
325,Alaska,2020-07-01,243.45
326,Arizona,2020-07-01,240.68
327,Arkansas,2020-07-01,221.24
328,California,2020-07-01,282.37
329,Colorado,2020-07-01,365.04
330,Connecticut,2020-07-01,314.18
331,Delaware,2020-07-01,236.64
332,District of Columbia,2020-07-01,351.14
333,Florida,2020-07-01,235.34
334,Georgia,2020-07-01,256.61
335,Hawaii,2020-07-01,450.96
336,Idaho,2020-07-01,297.86
337,Illinois,2020-07-01,316.14
338,Indiana,2020-07-01,
339,Iowa,2020-07-01,328.7
340,Kansas,2020-07-01,341.1
341,Kentucky,2020-07-01,282.55
342,Louisiana,2020-07-01,180.68
343,Maine,2020-07-01,294.53
344,Maryland,2020-07-01,308.98
345,Massachusetts,2020-07-01,401.55
346,Michigan,2020-07-01,301.65
347,Minnesota,2020-07-01,376.66
348,Mississippi,2020-07-01,182.44
349,Missouri,2020-07-01,240.32
350,Montana,2020-07-01,332.02
351,Nebraska,2020-07-01,273.9
352,Nevada,2020-07-01,369.42
353,New Hampshire,2020-07-01,255.15
354,New Jersey,2020-07-01,402.82
355,New Mexico,2020-07-01,319.88
356,New York,2020-07-01,331.1
357,North Carolina,2020-07-01,218.2
358,North Dakota,2020-07-01,441.74
359,Ohio,2020-07-01,324.06
360,Oklahoma,2020-07-01,322.29
361,Oregon,2020-07-01,354.7
