county,zip,address,snapshot
Adams,53948,"200 Hickory Street Mauston, WI 53948 ",2021-04-16 03:47:33
Ashland,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2021-04-16 03:47:33
Ashland,53585,"Bad River Health Center 53585 Nokomis Road Ashland, WI 54806 ",2021-04-16 03:47:33
Barron,54812,"335 E. Monroe Ave., Room 338 Barron, WI 54812 ",2021-04-16 03:47:33
Barron,54893,"St. Croix Tribal Center 4404 State Road 70 Webster, WI 54893 ",2021-04-16 03:47:33
Bayfield,54806,"216 3rd St. West, Suite 100 Ashland, WI 54806 ",2021-04-16 03:47:33
Bayfield,36745,"Red Cliff Community Health 36745 Aiken Road Bayfield, WI 54814 ",2021-04-16 03:47:33
Brown,54301,"622 Bodart St. Green Bay, WI 54301 ",2021-04-16 03:47:33
Brown,54155,"525 Airport Road PO Box 365 Oneida, WI 54155 ",2021-04-16 03:47:33
Buffalo,54610,"407 S. 2nd St. Alma, WI 54610 ",2021-04-16 03:47:33
Burnett,24467,"24467 State Road 35 70 Siren, WI 54872 ",2021-04-16 03:47:33
Burnett,54893,"St. Croix Tribal Health Center 4404 State Road 70 Webster, WI 54893 ",2021-04-16 03:47:33
Calumet,53014,"206 Court St. Chilton, WI 53014 ",2021-04-16 03:47:33
Chippewa,54729,"711 North Bridge St. Chippewa Falls, WI 54729 ",2021-04-16 03:47:33
Clark,54460,"W4266 CTH X Owen, WI 54460 ",2021-04-16 03:47:33
Columbia,53901,"111 E. Mullett St. Portage, WI 53901 ",2021-04-16 03:47:33
Crawford,53533,"149 North Iowa St. Dodgeville, WI 53533 ",2021-04-16 03:47:33
Dane,53704,"2705 E. Washington Ave. Madison, WI 53704-5002 ",2021-04-16 03:47:33
Dodge,53039,"199 County Road DF Juneau, WI 53039 ",2021-04-16 03:47:33
Door,54235,"421 Nebraska St. Sturgeon Bay, WI 54235 ",2021-04-16 03:47:33
Douglas,54880,"1805 North 14th St., Suite 4 Superior, WI 54880 ",2021-04-16 03:47:33
Dunn,54751,"3001 State Hwy 12E Menomonie, WI 54751 ",2021-04-16 03:47:33
Eau Claire,54703,"720 2nd Ave. Eau Claire, WI 54703 ",2021-04-16 03:47:33
